,0,10,20,30,40,50,60,70,80,90,100
중구,1081,1899,6581,5169,5374,6808,7982,5064,2281,333,10
서구,5193,7192,13333,11015,14470,17211,19388,12413,5943,738,16
동구,3960,4852,10425,11165,11970,14490,16358,10885,5226,623,23
영도구,4709,6971,11433,10687,14627,18430,22316,14763,6540,729,19
부산진구,19239,23941,51347,47425,49874,56204,57667,32242,14464,1617,34
동래구,19879,25377,31250,33354,44334,44232,42898,23768,9501,1195,32
남구,15708,22644,36935,28139,40082,42080,41491,25564,10680,1252,37
북구,17593,22075,34915,33871,39353,51479,49588,22980,9382,1143,33
해운대구,25965,36471,45666,44875,63552,69560,60871,32126,14410,1893,58
사하구,17669,24324,37826,36085,45076,53154,54335,27880,10977,1406,22
금정구,11406,16903,33114,24139,30700,38293,39684,22495,9807,1234,32
강서구,19269,13598,13572,28060,28059,17474,17472,7541,2979,479,13
연제구,13518,16134,24252,26242,31495,33470,33710,19080,7946,893,28
수영구,9565,11359,24002,23991,25062,27066,29027,17777,7613,949,33
사상구,10660,14326,28316,24830,28470,38222,39164,18388,6656,700,22
기장군,17594,18408,17163,24168,33625,25867,22895,13370,5783,825,31
