시군구명,거래수,연령대평균,0대,10대,20대,30대,40대,50대,60대,70대,80대,90대,100대,인구합계,가맹점수,인구수대비 가맹점 개수 비율,인구비율,거래량비율,인구-거래량,평일거래총액,주말거래총액
강서구,1336118,1978.97,19269,13598,13572,28060,28059,17474,17472,7541,2979,479,13,148516,5772,0.04,4.392981,5.75953,1.366549,25366662075,9597086362
금정구,2151442,1978.35,11406,16903,33114,24139,30700,38293,39684,22495,9807,1234,32,227807,8710,0.05,6.738218,7.202067,0.463848,31485862279,12234932153
기장군,963690,1977.32,17594,18408,17163,24168,33625,25867,22895,13370,5783,825,31,179729,6763,0.04,5.316054,4.16554,-1.150514,17274598923,8012689688
남구,1881526,1977.95,15708,22644,36935,28139,40082,42080,41491,25564,10680,1252,37,264612,8243,0.04,7.826794,6.449787,-1.377007,28481448184,10672563997
동구,726398,1976.92,3960,4852,10425,11165,11970,14490,16358,10885,5226,623,23,89977,4991,0.04,2.661394,2.25117,-0.410224,10268885348,3397047645
동래구,2504967,1976.37,19879,25377,31250,33354,44334,44232,42898,23768,9501,1195,32,275820,10508,0.06,8.158342,9.806889,1.648548,43778849348,15754755634
부산진구,3568514,1978.38,19239,23941,51347,47425,49874,56204,57667,32242,14464,1617,34,354054,16031,0.12,10.472452,13.24814,2.775688,58656709699,21767316017
북구,1995622,1976.64,17593,22075,34915,33871,39353,51479,49588,22980,9382,1143,33,282412,8068,0.03,8.353384,7.329462,-1.023921,32398867648,12095294041
사상구,1489445,1977.13,10660,14326,28316,24830,28470,38222,39164,18388,6656,700,22,209754,7999,0.03,6.204273,5.41855,-0.785724,23778211830,9115582148
사하구,2004888,1976.57,17669,24324,37826,36085,45076,53154,54335,27880,10977,1406,22,308754,9564,0.03,9.132546,7.046658,-2.085888,31420882807,11356490967
서구,691524,1976.99,5193,7192,13333,11015,14470,17211,19388,12413,5943,738,16,106912,3333,0.04,3.162329,2.181878,-0.980451,10025079306,3220208350
수영구,1595591,1977.07,9565,11359,24002,23991,25062,27066,29027,17777,7613,949,33,176444,7912,0.03,5.219026,5.912397,0.693371,25488450359,10403290988
연제구,1912041,1976.39,13518,16134,24252,26242,31495,33470,33710,19080,7946,893,28,206768,7538,0.03,6.115941,6.903581,0.78764,31132946346,10775864398
영도구,582429,1975.77,4709,6971,11433,10687,14627,18430,22316,14763,6540,729,19,111224,3218,0.04,3.289922,1.767899,-1.522023,7646486199,3085706806
중구,655696,1977.46,1081,1899,6581,5169,5374,6808,7982,5064,2281,333,10,42582,5132,0.04,1.259471,2.441727,1.182256,10462440555,4360285617
해운대구,3075269,1976.85,25965,36471,45666,44875,63552,69560,60871,32126,14410,1893,58,395447,13122,0.03,11.696873,12.114723,0.417851,53311395861,20232123125
